Name,Space,Color,Position,Price,PriceBuild,Rent,RentBuild1,RentBuild2,RentBuild3,RentBuild4,RentBuild5
Go,Idle,None,0,0,0,0,0,0,0,0,0
Old Kent Road,Street,Brown,1,60,50,2,10,30,90,160,250
Community Chest,Chest,None,2,0,0,0,0,0,0,0,0
Whitechapel Road,Brown,3,60,50,4,20,60,180,320,450
Income Tax,Tax,None,4,200,0,0,0,0,0,0,0
Kings Cross Station,Railroad,None,5,200,0,25,0,0,0,0,0
The Angel Islington,Street,LightBlue,6,100,50,6,30,90,270,400,550
Chance,Chance,None,7,0,0,0,0,0,0,0,0
Euston Road,Street,LightBlue,8,100,50,6,30,90,270,400,550
Pentonville Road,Street,LightBlue,9,120,50,8,40,100,300,450,600
Jail,Idle,None,10,0,0,0,0,0,0,0,0
Pall Mall,Street,Pink,11,140,100,10,50,150,450,625,750
Electric Company,utility,None,12,150,0,4,0,0,0,0,0
Whitehall,Street,Pink,13,140,100,10,50,150,450,625,750
Northumberland Avenue,Street,Pink,14,160,100,12,60,180,500,700,900
Marylebone Station,Railroad,None,15,200,0,25,0,0,0,0,0
Bow Street,Street,Orange,16,180,100,14,70,200,550,750,950
Community Chest,Chest,None,17,0,0,0,0,0,0,0,0
Marlborough Street,Street,Orange,18,180,100,14,70,200,550,750,950
Vine Street,Street,Orange,19,200,100,16,80,220,600,800,1000
Free Parking,Idle,None,20,0,0,0,0,0,0,0,0
Strand,Street,Red,21,220,150,18,90,250,700,875,1050
Chance,Chance,None,22,0,0,0,0,0,0,0,0
Fleet Street,Street,Red,23,220,150,18,90,250,700,875,1050
Trafalgar Square,Street,Red,24,240,150,20,100,300,750,925,1100
Fenchurch St. Station,Railroad,None,25,200,0,25,0,0,0,0,0
Leicester Square,Street,Yellow,26,260,150,22,110,330,800,975,1150
Coventry Street,Street,Yellow,27,260,150,22,110,330,800,975,1150
Water Works,utility,None,28,150,0,4,0,0,0,0,0
Piccadilly,Street,Yellow,29,280,150,24,120,360,850,1025,1200
Go To Jail,Jail,None,30,0,0,0,0,0,0,0,0
Regent Street,Street,Green,31,300,200,26,130,390,900,1100,1275
Oxford Street,Street,Green,32,300,200,26,130,390,900,1100,1275
Community Chest,Chest,None,33,0,0,0,0,0,0,0,0
Bond Street,Street,Green,34,320,200,28,150,450,1000,1200,1400
Liverpool St. Station,Railroad,None,35,200,0,25,0,0,0,0,0
Chance,Chance,None,36,0,0,0,0,0,0,0,0
Park Lane,Street,Blue,37,350,200,35,175,500,1100,1300,1500
Super Tax,Tax,None,38,100,0,0,0,0,0,0,0
Mayfair,Street,Blue,39,400,200,50,200,600,1400,1700,2000
